dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.5,loss,bagging,69,91.89333333,99.98666667,24,78.75,8.87,81.78,8.18
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,,loss,bagging,69,91.89333333,99.98666667,24,77.48,8.87,80.51,8.11
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,bagging,69,91.89333333,99.98666667,24,78.27,9.08,81.2,8.48
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,bagging,69,91.89333333,99.98666667,24,78.21,8.7,81.06,8.52
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,bagging,69,91.89333333,99.98666667,24,78.1,8.64,81.44,8.21
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.5,loss,bagging,69,91.89333333,99.98666667,24,78.61,8.71,81.36,8.06
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,,loss,bagging,69,91.89333333,99.98666667,24,76.33,9.1,79.38,8.42
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,bagging,69,91.89333333,99.98666667,24,77.32,9.35,80.42,8.54
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,bagging,69,91.89333333,99.98666667,24,77.5,8.77,80.31,8.58
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,bagging,69,91.89333333,99.98666667,24,77.39,8.96,80.66,8.49
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,bagging,69,91.89333333,99.98666667,24,77.74,8.93,80.64,8.17
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,,record.csv,False,,loss,bagging,69,92.62666667,98.89333333,45,73.55,9.2,76.31,8.4
