time,dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,image_size,recons_decoder,recons_lambda,aug_target,aug_type,split,save_iter,adaptation,gpu_id,acc_mean,acc_std,epoch
20191101-170723,miniImagenet,Conv4,protonet,5,5,5,True,,,0.0,,,novel,-1,False,1.0,62.51,9.07,297.0
20191101-212734,miniImagenet,Conv4,protonet,5,5,5,True,,Conv,0.1,,,novel,-1,False,1.0,64.93,8.69,434.0
20191102-012322,miniImagenet,Conv4,protonet,5,5,5,True,,Conv,1.0,,,novel,-1,False,1.0,63.95,8.54,423.0
20191102-054939,miniImagenet,Conv4,protonet,5,5,5,True,,Conv,10.0,,,novel,-1,False,1.0,59.54,9.2,435.0
20191102-093724,miniImagenet,Conv4,protonet,5,5,5,True,,HiddenConv,0.1,,,novel,-1,False,1.0,63.09,9.08,326.0
20191102-144331,miniImagenet,Conv4,protonet,5,5,5,True,,HiddenConv,1.0,,,novel,-1,False,1.0,65.22,8.62,466.0
20191102-210105,miniImagenet,Conv4,protonet,5,5,5,True,,HiddenConv,10.0,,,novel,-1,False,1.0,63.76,8.21,444.0
20191102-214642,cross,Conv4,protonet,5,5,5,True,,,0.0,,,novel,-1,False,0.0,51.42,8.63,287.0
20191103-010522,cross,Conv4,protonet,5,5,5,True,,Conv,0.1,,,novel,-1,False,0.0,51.47,8.58,325.0
20191103-041914,cross,Conv4,protonet,5,5,5,True,,Conv,1.0,,,novel,-1,False,0.0,53.03,8.62,350.0
20191103-070711,cross,Conv4,protonet,5,5,5,True,,Conv,10.0,,,novel,-1,False,0.0,50.92,8.22,262.0
20191103-101112,cross,Conv4,protonet,5,5,5,True,,HiddenConv,0.1,,,novel,-1,False,0.0,52.83,8.83,330.0
20191103-130156,cross,Conv4,protonet,5,5,5,True,,HiddenConv,1.0,,,novel,-1,False,0.0,53.09,8.62,269.0
20191103-155407,cross,Conv4,protonet,5,5,5,True,,HiddenConv,10.0,,,novel,-1,False,0.0,50.17,8.9,216.0
20191103-172117,CUB,Conv4,protonet,5,5,5,True,,,0.0,,,novel,-1,True,0.0,75.93,8.03,424.0
20191103-172803,CUB,Conv4,protonet,5,5,5,True,,Conv,0.1,,,novel,-1,True,0.0,77.71,8.72,477.0
20191103-173453,CUB,Conv4,protonet,5,5,5,True,,Conv,1.0,,,novel,-1,True,0.0,77.7,7.87,567.0
20191103-174144,CUB,Conv4,protonet,5,5,5,True,,Conv,10.0,,,novel,-1,True,0.0,70.48,9.09,581.0
20191103-174834,CUB,Conv4,protonet,5,5,5,True,,HiddenConv,0.1,,,novel,-1,True,0.0,76.22,8.08,580.0
20191103-175536,CUB,Conv4,protonet,5,5,5,True,,HiddenConv,1.0,,,novel,-1,True,0.0,75.08,8.27,414.0
20191103-180220,CUB,Conv4,protonet,5,5,5,True,,HiddenConv,10.0,,,novel,-1,True,0.0,75.85,8.09,427.0
20191103-200111,miniImagenet,Conv4,protonet,5,5,5,True,,,0.0,,,novel,-1,True,1.0,61.87,8.9,297.0
20191103-200813,miniImagenet,Conv4,protonet,5,5,5,True,,Conv,0.1,,,novel,-1,True,1.0,64.08,8.34,434.0
20191103-201506,miniImagenet,Conv4,protonet,5,5,5,True,,Conv,1.0,,,novel,-1,True,1.0,63.71,8.2,423.0
20191103-202216,miniImagenet,Conv4,protonet,5,5,5,True,,Conv,10.0,,,novel,-1,True,1.0,58.71,8.75,435.0
20191103-202913,miniImagenet,Conv4,protonet,5,5,5,True,,HiddenConv,0.1,,,novel,-1,True,1.0,62.58,8.84,326.0
20191103-203610,miniImagenet,Conv4,protonet,5,5,5,True,,HiddenConv,1.0,,,novel,-1,True,1.0,63.84,8.81,466.0
20191103-204301,miniImagenet,Conv4,protonet,5,5,5,True,,HiddenConv,10.0,,,novel,-1,True,1.0,63.09,8.29,444.0
20191103-205219,cross,Conv4,protonet,5,5,5,True,,,0.0,,,novel,-1,True,1.0,51.72,8.6,287.0
20191103-205913,cross,Conv4,protonet,5,5,5,True,,Conv,0.1,,,novel,-1,True,1.0,52.68,8.79,325.0
20191103-210601,cross,Conv4,protonet,5,5,5,True,,Conv,1.0,,,novel,-1,True,1.0,53.29,8.11,350.0
20191103-211256,cross,Conv4,protonet,5,5,5,True,,Conv,10.0,,,novel,-1,True,1.0,50.17,8.15,262.0
20191103-211948,cross,Conv4,protonet,5,5,5,True,,HiddenConv,0.1,,,novel,-1,True,1.0,53.42,8.18,330.0
20191103-212642,cross,Conv4,protonet,5,5,5,True,,HiddenConv,1.0,,,novel,-1,True,1.0,52.83,8.68,269.0
20191103-213331,cross,Conv4,protonet,5,5,5,True,,HiddenConv,10.0,,,novel,-1,True,1.0,50.0,8.57,216.0
20191107-175041,omniglot,Conv4S,protonet,5,5,5,False,,,0.0,,,novel,-1,False,0.0,99.3,1.15,425.0
20191109-223950,omniglot,Conv4S,protonet,5,5,5,False,,,0.0,,,novel,-1,False,0.0,98.84,1.66,82.0
20191109-230928,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,0.1,,,novel,-1,False,0.0,98.96,1.81,76.0
20191109-233851,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,1.0,,,novel,-1,False,0.0,98.36,2.14,73.0
20191110-001101,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,10.0,,,novel,-1,False,0.0,95.46,3.83,97.0
20191110-023411,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,0.1,,,novel,-1,False,0.0,99.04,1.74,87.0
20191110-030018,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,1.0,,,novel,-1,False,0.0,99.02,1.7,88.0
20191110-032753,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,10.0,,,novel,-1,False,0.0,98.88,1.72,87.0
