dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,80.0,74.725,81.05,269.0,62.36,9.43,61.97,9.11
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,,loss,avg_prob,80.0,74.725,81.05,269.0,62.39,9.39,61.8,8.81
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,avg_prob,80.0,74.725,81.05,269.0,62.78,9.48,62.15,9.01
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,avg_prob,80.0,74.725,81.05,269.0,62.72,9.42,62.14,9.05
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,avg_prob,80.0,74.725,81.05,269.0,62.62,9.41,62.08,9.01
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,avg_prob,80.0,74.725,81.05,269.0,62.59,9.42,62.04,9.04
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,,loss,avg_prob,80.0,74.725,81.05,269.0,59.42,10.11,58.31,9.28
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,avg_prob,80.0,74.725,81.05,269.0,62.39,9.72,61.46,9.2
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,avg_prob,80.0,74.725,81.05,269.0,62.7,9.89,61.77,9.23
cross_base80cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,avg_prob,80.0,74.725,81.05,269.0,62.75,9.75,61.99,9.17
