dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,train_acc_mean,epoch,source_val_acc,val_acc_mean,novel_acc_mean,val_acc_std,novel_acc_std
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.5,0,,l2,before_dropout,0.1,novel,-1,False,3.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,75.69792188,5,,83.81,86.74,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.5,0,,l2,before_dropout,0.1,novel,-1,False,5.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,75.69792188,5,,83.78,87.01,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,l2,before_dropout,0.01,novel,-1,False,3.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,48.17538808,3,,83.65,86.73,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,l2,before_dropout,0.01,novel,-1,False,5.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,48.17538808,3,,84.28,87.32,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,0,,l2,before_dropout,0.01,novel,-1,False,3.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,69.87981973,3,,83.57,86.96,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,0,,l2,before_dropout,0.01,novel,-1,False,5.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,69.87981973,3,,83.8,86.96,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.5,3,,l2,before_dropout,0.01,novel,-1,False,3.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,43.14909865,9,,80.72,83.4,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.5,3,,l2,before_dropout,0.01,novel,-1,False,5.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,43.14909865,9,,81.36,84.2,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.5,0,,l2,before_dropout,0.01,novel,-1,False,3.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,78.01702554,6,,84.72,87.62,,
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.5,0,,l2,before_dropout,0.01,novel,-1,False,5.0,none,,,,BaselineVal159-CharRecog-20200515_031044.csv,False,1.0,loss,avg_prob,1597,78.01702554,6,,84.81,87.85,,
