dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,64.0,,89.55,709.0,77.04,7.62,74.97,8.0
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,avg_prob,64.0,,89.55,709.0,77.16,7.63,74.9,7.87
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,avg_prob,64.0,,89.55,709.0,77.2,7.63,74.95,7.96
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,avg_prob,64.0,,89.55,709.0,77.21,7.58,75.0,7.99
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,avg_prob,64.0,,89.55,709.0,77.14,7.66,74.96,8.0
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,avg_prob,64.0,,89.55,709.0,76.66,7.61,75.35,7.96
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,avg_prob,64.0,,89.55,709.0,77.02,7.57,75.97,7.99
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,avg_prob,64.0,,89.55,709.0,77.2,7.46,76.28,7.83
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.5,loss,avg_prob,64.0,,89.55,709.0,77.11,7.45,76.45,7.8
miniImagenet,ResNet18Thin2,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.05,loss,avg_prob,64.0,,89.55,709.0,76.87,7.53,74.75,7.92
